iter	Passed	Remaining
420	2285	3143
421	2290	3137
422	2295	3131
423	2301	3126
424	2306	3121
425	2311	3115
426	2317	3109
427	2322	3104
428	2327	3098
429	2333	3092
430	2338	3087
431	2344	3082
432	2349	3076
433	2354	3070
434	2361	3066
435	2367	3061
436	2372	3056
437	2377	3050
438	2383	3046
439	2388	3040
440	2393	3034
441	2399	3029
442	2405	3024
443	2410	3018
444	2415	3012
445	2420	3007
446	2425	3000
447	2430	2995
448	2435	2989
449	2441	2983
450	2447	2978
451	2452	2972
452	2457	2967
453	2463	2962
454	2468	2956
455	2473	2950
456	2478	2945
457	2483	2939
458	2489	2933
459	2493	2927
460	2499	2922
461	2504	2916
462	2509	2910
463	2515	2905
464	2520	2899
465	2524	2893
466	2530	2887
467	2534	2881
468	2539	2875
469	2545	2870
470	2551	2865
471	2556	2860
472	2562	2854
473	2566	2848
474	2571	2842
475	2576	2836
476	2581	2830
477	2587	2825
478	2591	2819
479	2596	2813
480	2602	2808
481	2607	2802
482	2613	2796
483	2618	2791
484	2623	2785
485	2628	2779
486	2633	2774
487	2639	2768
488	2644	2763
489	2650	2758
490	2656	2753
491	2661	2748
492	2666	2742
493	2672	2736
494	2677	2731
495	2682	2725
496	2687	2719
497	2692	2714
498	2697	2708
499	2703	2703
500	2709	2699
501	2715	2693
502	2721	2688
503	2727	2683
504	2732	2678
505	2737	2672
506	2743	2668
507	2748	2662
508	2753	2656
509	2758	2650
510	2764	2645
511	2769	2639
512	2775	2634
513	2780	2628
514	2785	2623
515	2790	2617
516	2796	2612
517	2801	2606
518	2806	2601
519	2811	2595
520	2816	2589
521	2821	2583
522	2825	2577
523	2830	2571
524	2835	2565
525	2840	2559
526	2844	2553
527	2850	2547
528	2855	2542
529	2860	2536
530	2866	2531
531	2871	2525
532	2875	2519
533	2880	2513
534	2885	2507
535	2891	2502
536	2896	2497
537	2902	2492
538	2907	2487
539	2913	2481
540	2918	2476
541	2924	2471
542	2930	2466
543	2937	2461
544	2942	2456
545	2947	2451
546	2953	2446
547	2959	2440
548	2964	2435
549	2970	2430
550	2974	2424
551	2979	2418
552	2984	2412
553	2989	2406
554	2994	2400
555	2998	2394
556	3003	2389
557	3008	2383
558	3014	2377
559	3019	2372
560	3024	2367
561	3029	2361
562	3034	2355
563	3039	2349
564	3044	2343
565	3049	2338
566	3054	2332
567	3058	2326
568	3063	2320
569	3068	2314
570	3073	2308
571	3078	2303
572	3083	2297
573	3088	2291
574	3093	2286
575	3098	2280
576	3102	2274
577	3107	2268
578	3112	2263
579	3117	2257
580	3122	2251
581	3128	2246
582	3134	2241
583	3139	2236
584	3144	2230
585	3149	2225
586	3154	2219
587	3159	2213
588	3164	2208
589	3169	2202
590	3174	2197
591	3179	2191
592	3183	2185
593	3189	2179
594	3193	2173
595	3198	2167
596	3202	2162
597	3207	2156
598	3212	2150
599	3217	2144
600	3222	2139
601	3227	2133
602	3232	2127
603	3237	2122
604	3242	2117
605	3248	2111
606	3253	2106
607	3258	2101
608	3263	2095
609	3269	2090
610	3274	2084
611	3279	2079
612	3284	2073
613	3289	2068
614	3294	2062
615	3299	2056
616	3304	2051
617	3309	2045
618	3314	2040
619	3319	2034
620	3324	2029
621	3330	2023
622	3334	2018
623	3339	2012
624	3344	2006
625	3349	2000
626	3354	1995
627	3359	1989
628	3364	1984
629	3369	1978
630	3374	1973
631	3378	1967
632	3383	1961
633	3388	1955
634	3392	1950
635	3397	1944
636	3402	1938
637	3406	1932
638	3411	1927
639	3416	1921
640	3421	1916
641	3426	1910
642	3430	1904
643	3435	1899
644	3440	1893
645	3445	1888
646	3450	1882
647	3457	1878
648	3462	1872
649	3467	1867
650	3472	1861
651	3477	1855
652	3481	1850
653	3486	1844
654	3491	1839
655	3497	1833
656	3502	1828
657	3508	1823
658	3513	1818
659	3518	1812
660	3523	1806
661	3527	1801
662	3532	1795
663	3537	1789
664	3541	1784
665	3546	1778
666	3550	1772
667	3555	1767
668	3560	1761
669	3566	1756
670	3571	1751
671	3577	1746
672	3583	1741
673	3589	1735
674	3594	1730
675	3599	1725
