iter	Passed	Remaining
406	6380	9296
407	6396	9280
408	6411	9264
409	6426	9247
410	6441	9231
411	6458	9217
412	6473	9200
413	6489	9185
414	6505	9170
415	6520	9153
416	6535	9137
417	6551	9121
418	6566	9105
419	6581	9089
420	6597	9073
421	6612	9057
422	6627	9040
423	6643	9024
424	6659	9009
425	6674	8993
426	6690	8978
427	6705	8961
428	6721	8946
429	6737	8930
430	6752	8914
431	6768	8899
432	6782	8882
433	6798	8866
434	6813	8849
435	6828	8832
436	6843	8816
437	6859	8800
438	6874	8784
439	6889	8768
440	6904	8752
441	6920	8736
442	6935	8720
443	6951	8704
444	6966	8688
445	6981	8672
446	6998	8657
447	7014	8642
448	7029	8626
449	7044	8610
450	7059	8593
451	7074	8577
452	7090	8561
453	7105	8545
454	7121	8530
455	7136	8513
456	7152	8498
457	7167	8482
458	7182	8465
459	7198	8449
460	7213	8433
461	7228	8417
462	7243	8401
463	7258	8384
464	7274	8369
465	7289	8353
466	7305	8338
467	7321	8323
468	7338	8308
469	7353	8292
470	7369	8277
471	7385	8261
472	7400	8245
473	7416	8230
474	7432	8214
475	7448	8199
476	7463	8183
477	7479	8168
478	7495	8152
479	7511	8137
480	7527	8122
481	7543	8106
482	7558	8090
483	7573	8073
484	7588	8058
485	7603	8041
486	7618	8025
487	7634	8009
488	7650	7994
489	7664	7977
490	7680	7962
491	7695	7946
492	7710	7929
493	7726	7914
494	7742	7898
495	7759	7884
496	7774	7868
497	7789	7852
498	7805	7836
499	7820	7820
500	7836	7804
501	7851	7788
502	7866	7772
503	7881	7756
504	7896	7740
505	7912	7724
506	7927	7708
507	7943	7693
508	7958	7677
509	7974	7661
510	7990	7646
511	8006	7630
512	8021	7615
513	8036	7599
514	8052	7583
515	8068	7567
516	8083	7552
517	8098	7535
518	8113	7519
519	8128	7503
520	8143	7487
521	8159	7471
522	8174	7455
523	8190	7439
524	8205	7423
525	8220	7407
526	8235	7392
527	8251	7376
528	8266	7360
529	8282	7344
530	8298	7329
531	8313	7313
532	8328	7297
533	8344	7282
534	8359	7266
535	8375	7250
536	8390	7234
537	8406	7218
538	8421	7202
539	8437	7187
540	8454	7173
541	8471	7158
542	8486	7142
543	8501	7126
544	8516	7110
545	8531	7094
546	8547	7078
547	8562	7062
548	8578	7047
549	8594	7031
550	8610	7016
551	8626	7000
552	8641	6984
553	8656	6969
554	8672	6953
555	8687	6937
556	8703	6922
557	8718	6906
558	8734	6890
559	8750	6875
560	8766	6860
561	8781	6844
562	8796	6828
563	8811	6811
564	8827	6796
565	8841	6779
566	8856	6763
567	8871	6747
568	8886	6731
569	8902	6715
570	8917	6699
571	8932	6684
572	8948	6668
573	8964	6653
574	8980	6637
575	8995	6621
576	9010	6605
577	9026	6590
578	9040	6573
579	9056	6557
580	9071	6542
581	9087	6527
582	9103	6511
583	9118	6495
584	9133	6479
585	9148	6463
586	9163	6447
587	9178	6431
588	9194	6415
589	9209	6399
590	9224	6384
591	9240	6368
592	9256	6353
593	9271	6337
594	9288	6322
595	9304	6306
596	9319	6291
597	9335	6275
598	9350	6259
599	9366	6244
600	9381	6228
601	9396	6212
602	9412	6196
603	9428	6181
604	9443	6165
605	9459	6150
606	9474	6133
607	9489	6118
608	9505	6102
609	9520	6086
610	9536	6071
611	9552	6055
612	9568	6040
613	9583	6024
614	9598	6008
615	9614	5993
616	9629	5977
617	9645	5961
618	9660	5946
619	9676	5930
620	9692	5915
621	9707	5899
622	9723	5883
623	9738	5867
624	9753	5852
625	9768	5836
626	9784	5820
627	9800	5805
628	9816	5790
629	9832	5774
630	9848	5758
631	9863	5743
632	9879	5728
633	9895	5712
634	9911	5697
635	9928	5682
636	9944	5666
637	9961	5652
638	9976	5636
639	9991	5620
640	10007	5604
641	10023	5589
642	10040	5574
643	10056	5559
644	10072	5543
645	10088	5528
646	10103	5512
647	10119	5496
648	10134	5481
649	10150	5465
650	10165	5449
651	10181	5434
652	10196	5418
653	10212	5402
654	10228	5387
655	10243	5371
656	10259	5355
657	10274	5340
658	10289	5324
659	10304	5308
660	10319	5292
661	10334	5276
662	10350	5260
663	10366	5245
664	10381	5229
665	10396	5213
666	10412	5198
667	10427	5182
668	10443	5167
669	10459	5151
670	10475	5136
671	10490	5120
672	10506	5105
673	10521	5089
674	10536	5073
675	10552	5057
676	10568	5042
677	10583	5026
678	10599	5010
679	10614	4995
680	10630	4979
681	10645	4963
682	10660	4947
683	10676	4932
684	10691	4916
685	10706	4900
686	10721	4884
687	10737	4869
688	10752	4853
689	10767	4837
690	10784	4822
691	10800	4806
692	10815	4791
693	10830	4775
694	10845	4759
695	10861	4743
696	10876	4728
697	10891	4712
698	10907	4697
699	10923	4681
700	10939	4665
701	10955	4650
702	10970	4634
703	10986	4619
704	11001	4603
705	11017	4587
706	11032	4572
707	11048	4556
708	11064	4541
709	11080	4525
710	11095	4510
711	11110	4494
712	11126	4478
713	11141	4462
714	11156	4447
715	11172	4431
716	11188	4416
717	11204	4400
718	11219	4385
719	11235	4369
720	11250	4353
721	11265	4337
722	11280	4321
723	11297	4306
724	11312	4291
725	11327	4275
726	11343	4259
727	11358	4244
728	11374	4228
729	11389	4212
730	11404	4196
731	11420	4181
732	11435	4165
733	11451	4149
734	11465	4133
735	11481	4118
736	11496	4102
737	11513	4087
738	11529	4071
739	11544	4056
740	11560	4040
741	11575	4024
742	11590	4009
743	11606	3993
744	11621	3977
745	11637	3962
746	11652	3946
747	11668	3931
748	11684	3915
749	11700	3900
750	11715	3884
751	11731	3868
752	11746	3853
753	11762	3837
754	11777	3821
755	11793	3806
756	11808	3790
757	11824	3775
758	11839	3759
759	11855	3743
760	11870	3728
761	11885	3712
762	11900	3696
763	11915	3680
764	11931	3665
765	11947	3649
766	11963	3634
767	11978	3618
768	11994	3603
769	12010	3587
770	12025	3571
771	12041	3556
772	12056	3540
773	12071	3524
774	12087	3509
775	12102	3493
776	12117	3477
777	12132	3462
778	12148	3446
779	12163	3430
780	12178	3414
781	12193	3399
782	12209	3383
783	12224	3367
784	12241	3352
785	12256	3336
786	12272	3321
787	12288	3305
788	12303	3290
789	12318	3274
790	12333	3258
791	12349	3243
792	12364	3227
793	12380	3211
794	12395	3196
795	12410	3180
796	12425	3164
797	12442	3149
798	12458	3134
799	12473	3118
800	12488	3102
801	12504	3087
802	12519	3071
803	12534	3055
804	12549	3039
805	12564	3024
806	12579	3008
807	12594	2992
808	12610	2977
809	12626	2961
810	12641	2946
811	12658	2930
812	12673	2915
813	12689	2899
814	12704	2883
815	12719	2868
816	12735	2852
817	12750	2836
818	12766	2821
819	12782	2805
820	12797	2790
821	12813	2774
822	12828	2759
823	12843	2743
824	12858	2727
825	12874	2712
826	12890	2696
827	12906	2681
828	12922	2665
829	12938	2650
830	12954	2634
831	12969	2618
832	12985	2603
833	13000	2587
834	13016	2572
835	13030	2556
836	13047	2540
837	13063	2525
838	13079	2509
839	13094	2494
840	13109	2478
841	13125	2463
842	13140	2447
843	13155	2431
844	13171	2416
845	13186	2400
846	13202	2384
847	13217	2369
848	13233	2353
849	13248	2337
850	13263	2322
851	13278	2306
852	13294	2291
853	13309	2275
854	13324	2259
855	13339	2243
856	13353	2228
857	13368	2212
858	13383	2196
859	13399	2181
860	13413	2165
861	13429	2150
862	13446	2134
863	13461	2118
864	13477	2103
865	13493	2087
866	13508	2072
867	13523	2056
868	13538	2040
869	13553	2025
870	13568	2009
871	13584	1994
872	13600	1978
873	13616	1962
874	13630	1947
875	13645	1931
876	13661	1915
877	13676	1900
878	13692	1884
879	13707	1869
880	13723	1853
881	13739	1838
882	13754	1822
883	13769	1806
884	13784	1791
885	13800	1775
886	13815	1760
887	13831	1744
888	13846	1728
889	13862	1713
890	13878	1697
891	13893	1682
892	13908	1666
893	13925	1651
894	13941	1635
895	13957	1620
896	13972	1604
897	13986	1588
898	14001	1573
899	14017	1557
900	14032	1541
901	14047	1526
902	14063	1510
903	14078	1495
904	14094	1479
905	14109	1463
906	14124	1448
907	14140	1432
908	14155	1417
909	14170	1401
910	14185	1385
911	14201	1370
912	14216	1354
913	14231	1339
914	14247	1323
915	14262	1307
916	14278	1292
917	14294	1276
918	14310	1261
919	14325	1245
920	14341	1230
921	14357	1214
922	14372	1199
923	14388	1183
924	14403	1167
925	14419	1152
926	14435	1136
927	14450	1121
928	14465	1105
929	14480	1089
930	14495	1074
931	14511	1058
932	14526	1043
933	14544	1027
934	14562	1012
935	14580	996
936	14597	981
937	14614	966
938	14632	950
939	14648	934
940	14663	919
941	14680	903
942	14695	888
943	14712	872
944	14728	857
945	14743	841
946	14759	826
947	14774	810
948	14790	794
949	14806	779
950	14822	763
951	14838	748
952	14853	732
953	14869	716
954	14885	701
955	14900	685
956	14917	670
957	14933	654
958	14948	639
959	14964	623
960	14980	607
961	14995	592
962	15010	576
963	15026	561
964	15041	545
965	15056	529
966	15071	514
967	15087	498
968	15103	483
969	15119	467
970	15134	452
971	15149	436
972	15165	420
973	15181	405
974	15198	389
975	15214	374
976	15229	358
977	15244	342
978	15260	327
979	15276	311
980	15292	296
981	15308	280
982	15323	265
983	15339	249
984	15354	233
985	15369	218
986	15385	202
987	15400	187
988	15416	171
989	15431	155
990	15447	140
991	15463	124
992	15478	109
993	15493	93
994	15510	77
995	15526	62
996	15541	46
997	15558	31
998	15573	15
999	15588	0
