id,descripcion,tipo_datos,requerido,unidad
n_gra_md,media aritmética del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_min,valor mínimo del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_mn,mediana del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_q1,primer quintil del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_q2,segundo quintil del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_q3,tercer quintil del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_q4,cuarto quintil del nº de días de granizo en el mes/año,string,False,Nº de días
n_gra_s,desviación típica del nº de días de granizo en el mes/año,string,False,Nº de días
n_llu_cv,coeficiente de variación de Pearson del nº de días de lluvia en el mes/año,string,False,
n_llu_max,valor máximo del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_md,media aritmética del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_min,valor mínimo del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_mn,mediana del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_q1,primer quintil del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_q2,segundo quintil del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_q3,tercer quintil del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_q4,cuarto quintil del nº de días de lluvia en el mes/año,string,False,Nº de días
n_llu_s,desviación típica del nº de días de lluvia en el mes/año,string,False,Nº de días
n_nie_cv,coeficiente de variación de Pearson del nº de días de nieve en el mes/año,string,False,
n_nie_max,valor máximo del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_md,media aritmética del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_min,valor mínimo del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_mn,mediana del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_q1,primer quintil del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_q2,segundo quintil del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_q3,tercer quintil del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_q4,cuarto quintil del nº de días de nieve en el mes/año,string,False,Nº de días
n_nie_s,desviación típica del nº de días de nieve en el mes/año,string,False,Nº de días
n_nub_cv,coeficiente de variación de Pearson del nº de días nubosos en el mes/año,string,False,
n_nub_max,valor máximo del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_md,media aritmética del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_min,valor mínimo del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_mn,mediana del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_n,frecuencia absoluta (nº de años con dato disponible) del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_q1,primer quintil del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_q2,segundo quintil del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_q3,tercer quintil del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_q4,cuarto quintil del nº de días nubosos en el mes/año,string,False,Nº de días
n_nub_s,desviación típica del nº de días nubosos en el mes/año,string,False,Nº de días
np_001_cv,"coeficiente de variación de Pearson del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,
np_001_max,"valor máximo del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_md,"media aritmética del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_min,"valor mínimo del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_mn,"mediana del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_n,"frecuencia absoluta (nº de años con dato disponible) del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_q1,"primer quintil del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_q2,"segundo quintil del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_q3,"tercer quintil del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_q4,"cuarto quintil del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_001_s,"desviación típica del nº de días de precipitación apreciable (>=0,1 mm) en el mes/año",string,False,Nº de días
np_010_cv,coeficiente de variación de Pearson del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,
np_010_max,valor máximo del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_md,media aritmética del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_min,valor mínimo del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_mn,mediana del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_q1,primer quintil del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_q2,segundo quintil del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_q3,tercer quintil del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_q4,cuarto quintil del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_010_s,desviación típica del nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_100_cv,coeficiente de variación de Pearson del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,
np_100_max,valor máximo del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_md,media aritmética del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_min,valor mínimo del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_mn,mediana del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_q1,primer quintil del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_q2,segundo quintil del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_q3,tercer quintil del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_100_q4,cuarto quintil del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
