iter	Passed	Remaining
407	5129	2413
408	5140	2400
409	5152	2387
410	5164	2374
411	5175	2361
412	5187	2348
413	5198	2335
414	5210	2322
415	5221	2309
416	5233	2296
417	5245	2283
418	5257	2271
419	5269	2258
420	5281	2245
421	5293	2232
422	5305	2219
423	5316	2206
424	5320	2190
425	5332	2177
426	5343	2164
427	5354	2151
428	5365	2138
429	5377	2125
430	5389	2113
431	5400	2100
432	5411	2087
433	5422	2074
434	5433	2061
435	5445	2048
436	5457	2035
437	5468	2022
438	5480	2009
439	5491	1996
440	5502	1984
441	5514	1971
442	5526	1958
443	5538	1946
444	5550	1933
445	5561	1920
446	5574	1907
447	5585	1895
448	5596	1882
449	5608	1869
450	5621	1857
451	5632	1844
452	5644	1831
453	5656	1819
454	5668	1806
455	5680	1793
456	5692	1781
457	5704	1768
458	5715	1755
459	5726	1742
460	5737	1730
461	5749	1717
462	5761	1704
463	5772	1691
464	5783	1679
465	5795	1666
466	5806	1653
467	5818	1641
468	5829	1628
469	5841	1615
470	5853	1603
471	5864	1590
472	5876	1577
473	5888	1565
474	5899	1552
475	5912	1540
476	5923	1527
477	5935	1514
478	5947	1502
479	5959	1489
480	5970	1477
481	5982	1464
482	5994	1451
483	6005	1439
484	6017	1426
485	6028	1414
486	6039	1401
487	6051	1388
488	6063	1376
489	6076	1364
490	6087	1351
491	6099	1338
492	6110	1326
493	6122	1313
494	6133	1301
495	6144	1288
496	6156	1275
497	6168	1263
498	6180	1250
499	6192	1238
500	6204	1226
501	6216	1213
502	6227	1200
503	6239	1188
504	6251	1176
505	6264	1163
506	6275	1151
507	6287	1138
508	6299	1126
509	6310	1113
510	6322	1101
511	6333	1088
512	6345	1076
513	6357	1063
514	6368	1051
515	6379	1038
516	6390	1025
517	6403	1013
518	6414	1001
519	6425	988
520	6438	976
521	6450	963
522	6462	951
523	6473	938
524	6485	926
525	6497	914
526	6508	901
527	6519	889
528	6531	876
529	6542	864
530	6554	851
531	6560	838
532	6571	826
533	6582	813
534	6595	801
535	6606	788
536	6617	776
537	6629	763
538	6640	751
539	6653	739
540	6664	726
541	6676	714
542	6687	701
543	6698	689
544	6710	677
545	6722	664
546	6735	652
547	6747	640
548	6760	627
549	6772	615
550	6784	603
551	6795	590
552	6806	578
553	6818	566
554	6830	553
555	6842	541
556	6854	529
557	6865	516
558	6876	504
559	6887	491
560	6900	479
561	6911	467
562	6923	455
563	6936	442
564	6948	430
565	6959	418
566	6969	405
567	6981	393
568	6992	380
569	7004	368
570	7015	356
571	7026	343
572	7037	331
573	7049	319
574	7061	307
575	7073	294
576	7086	282
577	7098	270
578	7109	257
579	7120	245
580	7132	233
581	7144	220
582	7157	208
583	7168	196
584	7180	184
585	7191	171
586	7202	159
587	7214	147
588	7225	134
589	7237	122
590	7249	110
591	7262	98
592	7273	85
593	7285	73
594	7296	61
595	7307	49
596	7319	36
597	7331	24
598	7343	12
599	7355	0
