fecha,indicativo,p_max,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,np_100,n_nub,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2023-9,B013X,50.8(19),8,77,1,15.0,33.8(17),23.0,4,12,13/15.3(03),2,10,0,9,9.8(24),84,194,1,87.9,3,0,22.3,21.2,27.4,6
2023-11,B013X,9.6(02),5,76,2,7.8,25.2(14),15.1,0,6,26/21.7(04),0,19,0,4,3.0(08),80,114,0,18.8,4,0,11.9,13.3,18.7,3
2023-12,B013X,6.8(07),7,80,0,3.5,23.2(12),10.4,0,8,26/14.2(01),0,16,0,6,-1.9(27),53,93,0,10.8,2,7,11.2,9.4,15.3,3
2023-13,B013X,,67,72,10,9.9,41.4(18/jul),26.0,60,110,22/22.5(26/oct),,188,0,,-3.2(05/mar),75,142,,,3,27,4.5,16.1,22.3,
2024-10,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-13,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-7,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-8,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-9,B013X,,,,,,,,,,,,,,,,,,,,,,,,,
2024-1,B013X,67.1(11),13,82,3,4.1,22.5(25),15.0,0,5,24/17.8(17),4,13,0,8,-2.1(22),70,95,3,184.2,3,6,7.3,9.7,15.3,6
2024-2,B013X,,8,75,2,4.0,21.3(22),10.6,0,5,24/18.3(22),,16,0,,0.0(05),76,89,,,3,1,9.1,9.8,15.6,
2024-3,B013X,39.0(09),8,69,5,6.1,23.7(17),13.0,0,8,21/20.6(28),4,15,0,14,0.3(06),109,95,2,127.9,5,0,10.8,11.5,16.9,10
2024-4,B013X,,5,65,0,7.7,30.4(08),20.7,1,5,20/13.3(08),,18,0,,1.0(20),86,99,,,3,0,10.6,13.2,18.7,
2024-5,B013X,9.1(20),3,63,0,9.4,27.7(30),15.0,0,11,22/12.2(01),0,17,0,8,3.0(03),68,130,0,44.3,3,0,15.9,15.8,22.1,6
2024-6,B013X,17.5(11),4,61,0,14.4,31.5(18),21.4,3,8,22/12.8(08),1,18,0,4,9.2(01),99,159,0,17.8,5,0,18.7,20.3,26.1,1
