iter	RMSE
0	0.6212996263
1	0.6103086648
2	0.5999531832
3	0.5897778604
4	0.5795889322
5	0.5698187681
6	0.5596830347
7	0.5509170282
8	0.5420632425
9	0.534185656
10	0.5257125266
11	0.5177761653
12	0.5100869359
13	0.5030842421
14	0.4953681218
15	0.4884625621
16	0.4817875597
17	0.4750871626
18	0.4687142749
19	0.4621282703
20	0.4560290925
21	0.4500684079
22	0.4444431259
23	0.4390773684
24	0.4335500344
25	0.4287482537
26	0.4239066556
27	0.4189068145
28	0.4141163578
29	0.4099523644
30	0.4056867658
31	0.4018419702
32	0.397835363
33	0.3937806716
34	0.3899903779
35	0.3862785619
36	0.3823033942
37	0.3783260059
38	0.3747935013
39	0.3709883956
40	0.367492251
41	0.3639904316
42	0.360849754
43	0.3576170496
44	0.3547147312
45	0.3517931269
46	0.348952394
47	0.3459714132
48	0.3431484532
49	0.3404774314
50	0.3378834203
51	0.3356110611
52	0.3331936041
53	0.3308856339
54	0.3287956147
55	0.3266655831
56	0.3246533144
57	0.3223409669
58	0.320339915
59	0.3177520672
60	0.3153348885
61	0.3132941858
62	0.3112267118
63	0.3090284101
64	0.3066731082
65	0.3045221333
66	0.3026717661
67	0.3011132213
68	0.299362693
69	0.2978868711
70	0.2961667619
71	0.2942704568
72	0.2926091552
73	0.2908428691
74	0.2893526953
75	0.2876404646
76	0.2860362939
77	0.284611898
78	0.2831500254
79	0.2818743665
80	0.2806268454
81	0.2794480846
82	0.2783876915
83	0.2774444447
84	0.2767096653
85	0.2757427325
86	0.2749452566
87	0.2738422536
88	0.2727222214
89	0.2716051912
90	0.2704879577
91	0.2696167029
92	0.2687545264
93	0.2679043462
94	0.2669094385
95	0.2660835181
96	0.2652809643
97	0.2643642495
98	0.2632902198
99	0.2628016388
100	0.2620476607
101	0.2614279662
102	0.2607271379
103	0.2600082208
104	0.2594886557
105	0.2586854656
106	0.2579784396
107	0.2574460373
108	0.2568176977
109	0.256232188
110	0.2557051588
111	0.2551956119
112	0.2546856918
113	0.2540493767
114	0.2534157521
115	0.2528350803
116	0.2521512212
117	0.2515852883
118	0.251045548
119	0.2501235761
120	0.2496276566
121	0.2491836351
122	0.2484272484
123	0.2476990336
124	0.2471005314
125	0.2464170574
126	0.2456428022
127	0.2449969207
